9989;W78.9; Local NE;Inalação do conteúdo gástrico - local não especificado
10052;W86.2; Escolas outr instit areas admin publica;Exposição a outra corrente elétrica especificada - escolas, outras instituições e áreas de administração pública
10053;W86.3; Area p/a pratica de esportes e atletismo;Exposição a outra corrente elétrica especificada - área para a prática de esportes e atletismo
10054;W86.4; Rua e estrada;Exposição a outra corrente elétrica especificada - rua e estrada
10055;W86.5; Areas de comercio e de servicos;Exposição a outra corrente elétrica especificada - áreas de comércio e de serviços
10056;W86.6; Areas industriais e em construcao;Exposição a outra corrente elétrica especificada - áreas industriais e em construção
10057;W86.7; Fazenda;Exposição a outra corrente elétrica especificada - fazenda
10058;W86.8; Outr locais espec;Exposição a outra corrente elétrica especificada - outros locais especificados
10059;W86.9; Local NE;Exposição a outra corrente elétrica especificada - local não especificado
10060;W87.0; Residencia;Exposição a corrente elétrica não especificada - residência
10061;W87.1; Habitacao coletiva;Exposição a corrente elétrica não especificada - habitação coletiva
10062;W87.2; Escolas outr instit areas admin publica;Exposição a corrente elétrica não especificada - escolas, outras instituições e áreas de administração pública
10063;W87.3; Area p/a pratica de esportes e atletismo;Exposição a corrente elétrica não especificada - área para a prática de esportes e atletismo
10064;W87.4; Rua e estrada;Exposição a corrente elétrica não especificada - rua e estrada
10065;W87.5; Areas de comercio e de servicos;Exposição a corrente elétrica não especificada - áreas de comércio e de serviços
10066;W87.6; Areas industriais e em construcao;Exposição a corrente elétrica não especificada - áreas industriais e em construção
10067;W87.7; Fazenda;Exposição a corrente elétrica não especificada - fazenda
10068;W87.8; Outr locais espec;Exposição a corrente elétrica não especificada - outros locais especificados
10069;W87.9; Local NE;Exposição a corrente elétrica não especificada - local não especificado
10070;W88.0; Residencia;Exposição a radiação ionizante - residência
10071;W88.1; Habitacao coletiva;Exposição a radiação ionizante - habitação coletiva
10072;W88.2; Escolas outr instit areas admin publica;Exposição a radiação ionizante - escolas, outras instituições e áreas de administração pública
10073;W88.3; Area p/a pratica de esportes e atletismo;Exposição a radiação ionizante - área para a prática de esportes e atletismo
10074;W88.4; Rua e estrada;Exposição a radiação ionizante - rua e estrada
10075;W88.5; Areas de comercio e de servicos;Exposição a radiação ionizante - áreas de comércio e de serviços
10076;W88.6; Areas industriais e em construcao;Exposição a radiação ionizante - áreas industriais e em construção
10077;W88.7; Fazenda;Exposição a radiação ionizante - fazenda
10078;W88.8; Outr locais espec;Exposição a radiação ionizante - outros locais especificados
10079;W88.9; Local NE;Exposição a radiação ionizante - local não especificado
10080;W89.0; Residencia;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - residência
10081;W89.1; Habitacao coletiva;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - habitação coletiva
10082;W89.2; Escolas outr instit areas admin publica;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - escolas, outras instituições e áreas de administração pública
10083;W89.3; Area p/a pratica de esportes e atletismo;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - área para a prática de esportes e atletismo
10084;W89.4; Rua e estrada;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - rua e estrada
10085;W89.5; Areas de comercio e de servicos;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - áreas de comércio e de serviços
10086;W89.6; Areas industriais e em construcao;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - áreas industriais e em construção
10087;W89.7; Fazenda;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - fazenda
10088;W89.8; Outr locais espec;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - outros locais especificados
10089;W89.9; Local NE;Exposição a fontes luminosas artificiais visíveis ou à luz ultravioleta - local não especificado
10090;W90.0; Residencia;Exposição a outros tipos de radiação não-ionizante - residência
10091;W90.1; Habitacao coletiva;Exposição a outros tipos de radiação não-ionizante - habitação coletiva
10092;W90.2; Escolas outr instit areas admin publica;Exposição a outros tipos de radiação não-ionizante - escolas, outras instituições e áreas de administração pública
10093;W90.3; Area p/a pratica de esportes e atletismo;Exposição a outros tipos de radiação não-ionizante - área para a prática de esportes e atletismo
10094;W90.4; Rua e estrada;Exposição a outros tipos de radiação não-ionizante - rua e estrada
10095;W90.5; Areas de comercio e de servicos;Exposição a outros tipos de radiação não-ionizante - áreas de comércio e de serviços
10096;W90.6; Areas industriais e em construcao;Exposição a outros tipos de radiação não-ionizante - áreas industriais e em construção
10097;W90.7; Fazenda;Exposição a outros tipos de radiação não-ionizante - fazenda
10098;W90.8; Outr locais espec;Exposição a outros tipos de radiação não-ionizante - outros locais especificados
10099;W90.9; Local NE;Exposição a outros tipos de radiação não-ionizante - local não especificado
10100;W91.0; Residencia;Exposição a tipo não especificado de radiação - residência
10101;W91.1; Habitacao coletiva;Exposição a tipo não especificado de radiação - habitação coletiva
10102;W91.2; Escolas outr instit areas admin publica;Exposição a tipo não especificado de radiação - escolas, outras instituições e áreas de administração pública
10103;W91.3; Area p/a pratica de esportes e atletismo;Exposição a tipo não especificado de radiação - área para a prática de esportes e atletismo
10104;W91.4; Rua e estrada;Exposição a tipo não especificado de radiação - rua e estrada
10105;W91.5; Areas de comercio e de servicos;Exposição a tipo não especificado de radiação - áreas de comércio e de serviços
10106;W91.6; Areas industriais e em construcao;Exposição a tipo não especificado de radiação - áreas industriais e em construção
10107;W91.7; Fazenda;Exposição a tipo não especificado de radiação - fazenda
10108;W91.8; Outr locais espec;Exposição a tipo não especificado de radiação - outros locais especificados
10109;W91.9; Local NE;Exposição a tipo não especificado de radiação - local não especificado
10110;W92.0; Residencia;Exposição a um calor excessivo de origem artificial - residência
10111;W92.1; Habitacao coletiva;Exposição a um calor excessivo de origem artificial - habitação coletiva
10112;W92.2; Escolas outr instit areas admin publica;Exposição a um calor excessivo de origem artificial - escolas, outras instituições e áreas de administração pública
10113;W92.3; Area p/a pratica de esportes e atletismo;Exposição a um calor excessivo de origem artificial - área para a prática de esportes e atletismo
10114;W92.4; Rua e estrada;Exposição a um calor excessivo de origem artificial - rua e estrada
10115;W92.5; Areas de comercio e de servicos;Exposição a um calor excessivo de origem artificial - áreas de comércio e de serviços
10116;W92.6; Areas industriais e em construcao;Exposição a um calor excessivo de origem artificial - áreas industriais e em construção
10117;W92.7; Fazenda;Exposição a um calor excessivo de origem artificial - fazenda
10118;W92.8; Outr locais espec;Exposição a um calor excessivo de origem artificial - outros locais especificados
10119;W92.9; Local NE;Exposição a um calor excessivo de origem artificial - local não especificado
10120;W93.0; Residencia;Exposição a um frio excessivo de origem artificial - residência
10121;W93.1; Habitacao coletiva;Exposição a um frio excessivo de origem artificial - habitação coletiva
10122;W93.2; Escolas outr instit areas admin publica;Exposição a um frio excessivo de origem artificial - escolas, outras instituições e áreas de administração pública
10123;W93.3; Area p/a pratica de esportes e atletismo;Exposição a um frio excessivo de origem artificial - área para a prática de esportes e atletismo
10124;W93.4; Rua e estrada;Exposição a um frio excessivo de origem artificial - rua e estrada
10125;W93.5; Areas de comercio e de servicos;Exposição a um frio excessivo de origem artificial - áreas de comércio e de serviços
10126;W93.6; Areas industriais e em construcao;Exposição a um frio excessivo de origem artificial - áreas industriais e em construção
10127;W93.7; Fazenda;Exposição a um frio excessivo de origem artificial - fazenda
10128;W93.8; Outr locais espec;Exposição a um frio excessivo de origem artificial - outros locais especificados
10129;W93.9; Local NE;Exposição a um frio excessivo de origem artificial - local não especificado
10130;W94.0; Residencia;Exposição a alta, baixa e a variações da pressão atmosférica - residência
10131;W94.1; Habitacao coletiva;Exposição a alta, baixa e a variações da pressão atmosférica - habitação coletiva
10132;W94.2; Escolas outr instit areas admin publica;Exposição a alta, baixa e a variações da pressão atmosférica - escolas, outras instituições e áreas de administração pública
10133;W94.3; Area p/a pratica de esportes e atletismo;Exposição a alta, baixa e a variações da pressão atmosférica - área para a prática de esportes e atletismo
10134;W94.4; Rua e estrada;Exposição a alta, baixa e a variações da pressão atmosférica - rua e estrada
10135;W94.5; Areas de comercio e de servicos;Exposição a alta, baixa e a variações da pressão atmosférica - áreas de comércio e de serviços
10136;W94.6; Areas industriais e em construcao;Exposição a alta, baixa e a variações da pressão atmosférica - áreas industriais e em construção
10137;W94.7; Fazenda;Exposição a alta, baixa e a variações da pressão atmosférica - fazenda
10138;W94.8; Outr locais espec;Exposição a alta, baixa e a variações da pressão atmosférica - outros locais especificados
10139;W94.9; Local NE;Exposição a alta, baixa e a variações da pressão atmosférica - local não especificado
10140;W99.0; Residencia;Exposição a outros fatores ambientais artificiais e aos não especificados - residência
10141;W99.1; Habitacao coletiva;Exposição a outros fatores ambientais artificiais e aos não especificados - habitação coletiva
10142;W99.2; Escolas outr instit areas admin publica;Exposição a outros fatores ambientais artificiais e aos não especificados - escolas, outras instituições e áreas de administração pública
10143;W99.3; Area p/a pratica de esportes e atletismo;Exposição a outros fatores ambientais artificiais e aos não especificados - área para a prática de esportes e atletismo
10144;W99.4; Rua e estrada;Exposição a outros fatores ambientais artificiais e aos não especificados - rua e estrada
10145;W99.5; Areas de comercio e de servicos;Exposição a outros fatores ambientais artificiais e aos não especificados - áreas de comércio e de serviços
10146;W99.6; Areas industriais e em construcao;Exposição a outros fatores ambientais artificiais e aos não especificados - áreas industriais e em construção
10147;W99.7; Fazenda;Exposição a outros fatores ambientais artificiais e aos não especificados - fazenda
10148;W99.8; Outr locais espec;Exposição a outros fatores ambientais artificiais e aos não especificados - outros locais especificados
10149;W99.9; Local NE;Exposição a outros fatores ambientais artificiais e aos não especificados - local não especificado
10150;X00.0; Residencia;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - residência
10151;X00.1; Habitacao coletiva;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - habitação coletiva
10152;X00.2; Escolas outr instit areas admin publica;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - escolas, outras instituições e áreas de administração pública
10153;X00.3; Area p/a pratica de esportes e atletismo;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - área para a prática de esportes e atletismo
10154;X00.4; Rua e estrada;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - rua e estrada
10155;X00.5; Areas de comercio e de servicos;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - áreas de comércio e de serviços
10156;X00.6; Areas industriais e em construcao;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - áreas industriais e em construção
10157;X00.7; Fazenda;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - fazenda
10158;X00.8; Outr locais espec;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - outros locais especificados
10159;X00.9; Local NE;Exposição a fogo não-controlado em um edifício ou outro tipo de construção - local não especificado
10160;X01.0; Residencia;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - residência
10161;X01.1; Habitacao coletiva;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - habitação coletiva
10162;X01.2; Escolas outr instit areas admin publica;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - escolas, outras instituições e áreas de administração pública
10163;X01.3; Area p/a pratica de esportes e atletismo;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - área para a prática de esportes e atletismo
10164;X01.4; Rua e estrada;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - rua e estrada
10165;X01.5; Areas de comercio e de servicos;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - áreas de comércio e de serviços
10166;X01.6; Areas industriais e em construcao;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - áreas industriais e em construção
10167;X01.7; Fazenda;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - fazenda
10168;X01.8; Outr locais espec;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - outros locais especificados
10169;X01.9; Local NE;Exposição a fogo não-controlado fora de um edifício ou de outro tipo de construção - local não especificado
10170;X02.0; Residencia;Exposição a fogo controlado em um edifício ou outro tipo de construção - residência
10171;X02.1; Habitacao coletiva;Exposição a fogo controlado em um edifício ou outro tipo de construção - habitação coletiva
10172;X02.2; Escolas outr instit areas admin publica;Exposição a fogo controlado em um edifício ou outro tipo de construção - escolas, outras instituições e áreas de administração pública
10173;X02.3; Area p/a pratica de esportes e atletismo;Exposição a fogo controlado em um edifício ou outro tipo de construção - área para a prática de esportes e atletismo
10174;X02.4; Rua e estrada;Exposição a fogo controlado em um edifício ou outro tipo de construção - rua e estrada
10175;X02.5; Areas de comercio e de servicos;Exposição a fogo controlado em um edifício ou outro tipo de construção - áreas de comércio e de serviços
10176;X02.6; Areas industriais e em construcao;Exposição a fogo controlado em um edifício ou outro tipo de construção - áreas industriais e em construção
10177;X02.7; Fazenda;Exposição a fogo controlado em um edifício ou outro tipo de construção - fazenda
10178;X02.8; Outr locais espec;Exposição a fogo controlado em um edifício ou outro tipo de construção - outros locais especificados
10179;X02.9; Local NE;Exposição a fogo controlado em um edifício ou outro tipo de construção - local não especificado
10180;X03.0; Residencia;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - residência
10181;X03.1; Habitacao coletiva;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - habitação coletiva
10182;X03.2; Escolas outr instit areas admin publica;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - escolas, outras instituições e áreas de administração pública
10183;X03.3; Area p/a pratica de esportes e atletismo;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - área para a prática de esportes e atletismo
10184;X03.4; Rua e estrada;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - rua e estrada
10185;X03.5; Areas de comercio e de servicos;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - áreas de comércio e de serviços
10186;X03.6; Areas industriais e em construcao;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - áreas industriais e em construção
10187;X03.7; Fazenda;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - fazenda
10188;X03.8; Outr locais espec;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - outros locais especificados
10189;X03.9; Local NE;Exposição a fogo controlado fora de um edifício ou de outro tipo de construção - local não especificado
10190;X04.0; Residencia;Exposição a combustão de substância muito inflamável - residência
10191;X04.1; Habitacao coletiva;Exposição a combustão de substância muito inflamável - habitação coletiva
10192;X04.2; Escolas outr instit areas admin publica;Exposição a combustão de substância muito inflamável - escolas, outras instituições e áreas de administração pública
10193;X04.3; Area p/a pratica de esportes e atletismo;Exposição a combustão de substância muito inflamável - área para a prática de esportes e atletismo
10194;X04.4; Rua e estrada;Exposição a combustão de substância muito inflamável - rua e estrada
10195;X04.5; Areas de comercio e de servicos;Exposição a combustão de substância muito inflamável - áreas de comércio e de serviços
10196;X04.6; Areas industriais e em construcao;Exposição a combustão de substância muito inflamável - áreas industriais e em construção
10197;X04.7; Fazenda;Exposição a combustão de substância muito inflamável - fazenda
10198;X04.8; Outr locais espec;Exposição a combustão de substância muito inflamável - outros locais especificados
10199;X04.9; Local NE;Exposição a combustão de substância muito inflamável - local não especificado
10200;X05.0; Residencia;Exposição a combustão de roupa de dormir - residência
10201;X05.1; Habitacao coletiva;Exposição a combustão de roupa de dormir - habitação coletiva
10202;X05.2; Escolas outr instit areas admin publica;Exposição a combustão de roupa de dormir - escolas, outras instituições e áreas de administração pública
10203;X05.3; Area p/a pratica de esportes e atletismo;Exposição a combustão de roupa de dormir - área para a prática de esportes e atletismo
10204;X05.4; Rua e estrada;Exposição a combustão de roupa de dormir - rua e estrada
10205;X05.5; Areas de comercio e de servicos;Exposição a combustão de roupa de dormir - áreas de comércio e de serviços
10206;X05.6; Areas industriais e em construcao;Exposição a combustão de roupa de dormir - áreas industriais e em construção
10207;X05.7; Fazenda;Exposição a combustão de roupa de dormir - fazenda
10208;X05.8; Outr locais espec;Exposição a combustão de roupa de dormir - outros locais especificados
10209;X05.9; Local NE;Exposição a combustão de roupa de dormir - local não especificado
10210;X06.0; Residencia;Exposição a combustão de outro tipo de roupa ou de acessórios - residência
10211;X06.1; Habitacao coletiva;Exposição a combustão de outro tipo de roupa ou de acessórios - habitação coletiva
10212;X06.2; Escolas outr instit areas admin publica;Exposição a combustão de outro tipo de roupa ou de acessórios - escolas, outras instituições e áreas de administração pública
10213;X06.3; Area p/a pratica de esportes e atletismo;Exposição a combustão de outro tipo de roupa ou de acessórios - área para a prática de esportes e atletismo
10214;X06.4; Rua e estrada;Exposição a combustão de outro tipo de roupa ou de acessórios - rua e estrada
10215;X06.5; Areas de comercio e de servicos;Exposição a combustão de outro tipo de roupa ou de acessórios - áreas de comércio e de serviços
10216;X06.6; Areas industriais e em construcao;Exposição a combustão de outro tipo de roupa ou de acessórios - áreas industriais e em construção
10217;X06.7; Fazenda;Exposição a combustão de outro tipo de roupa ou de acessórios - fazenda
10218;X06.8; Outr locais espec;Exposição a combustão de outro tipo de roupa ou de acessórios - outros locais especificados
10219;X06.9; Local NE;Exposição a combustão de outro tipo de roupa ou de acessórios - local não especificado
10220;X08.0; Residencia;Exposição a outro tipo especificado de fumaça, fogo ou chamas - residência
10221;X08.1; Habitacao coletiva;Exposição a outro tipo especificado de fumaça, fogo ou chamas - habitação coletiva
10222;X08.2; Escolas outr instit areas admin publica;Exposição a outro tipo especificado de fumaça, fogo ou chamas - escolas, outras instituições e áreas de administração pública
10223;X08.3; Area p/a pratica de esportes e atletismo;Exposição a outro tipo especificado de fumaça, fogo ou chamas - área para a prática de esportes e atletismo
10224;X08.4; Rua e estrada;Exposição a outro tipo especificado de fumaça, fogo ou chamas - rua e estrada
10225;X08.5; Areas de comercio e de servicos;Exposição a outro tipo especificado de fumaça, fogo ou chamas - áreas de comércio e de serviços
10226;X08.6; Areas industriais e em construcao;Exposição a outro tipo especificado de fumaça, fogo ou chamas - áreas industriais e em construção
10227;X08.7; Fazenda;Exposição a outro tipo especificado de fumaça, fogo ou chamas - fazenda
10228;X08.8; Outr locais espec;Exposição a outro tipo especificado de fumaça, fogo ou chamas - outros locais especificados
10229;X08.9; Local NE;Exposição a outro tipo especificado de fumaça, fogo ou chamas - local não especificado
10230;X09.0; Residencia;Exposição a tipo não especificado de fumaça, fogo ou chamas - residência
10231;X09.1; Habitacao coletiva;Exposição a tipo não especificado de fumaça, fogo ou chamas - habitação coletiva
10232;X09.2; Escolas outr instit areas admin publica;Exposição a tipo não especificado de fumaça, fogo ou chamas - escolas, outras instituições e áreas de administração pública
10233;X09.3; Area p/a pratica de esportes e atletismo;Exposição a tipo não especificado de fumaça, fogo ou chamas - área para a prática de esportes e atletismo
10234;X09.4; Rua e estrada;Exposição a tipo não especificado de fumaça, fogo ou chamas - rua e estrada
10235;X09.5; Areas de comercio e de servicos;Exposição a tipo não especificado de fumaça, fogo ou chamas - áreas de comércio e de serviços
10236;X09.6; Areas industriais e em construcao;Exposição a tipo não especificado de fumaça, fogo ou chamas - áreas industriais e em construção
10237;X09.7; Fazenda;Exposição a tipo não especificado de fumaça, fogo ou chamas - fazenda
10238;X09.8; Outr locais espec;Exposição a tipo não especificado de fumaça, fogo ou chamas - outros locais especificados
10239;X09.9; Local NE;Exposição a tipo não especificado de fumaça, fogo ou chamas - local não especificado
10240;X10.0; Residencia;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - residência
10241;X10.1; Habitacao coletiva;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - habitação coletiva
10242;X10.2; Escolas outr instit areas admin publica;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - escolas, outras instituições e áreas de administração pública
10243;X10.3; Area p/a pratica de esportes e atletismo;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - área para a prática de esportes e atletismo
10244;X10.4; Rua e estrada;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - rua e estrada
10245;X10.5; Areas de comercio e de servicos;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - áreas de comércio e de serviços
10246;X10.6; Areas industriais e em construcao;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - áreas industriais e em construção
10247;X10.7; Fazenda;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - fazenda
10248;X10.8; Outr locais espec;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - outros locais especificados
10249;X10.9; Local NE;Contato com bebidas, alimentos, gordura e óleo de cozinha quentes - local não especificado
10250;X11.0; Residencia;Contato com água corrente quente de torneira - residência
10251;X11.1; Habitacao coletiva;Contato com água corrente quente de torneira - habitação coletiva
10252;X11.2; Escolas outr instit areas admin publica;Contato com água corrente quente de torneira - escolas, outras instituições e áreas de administração pública
10253;X11.3; Area p/a pratica de esportes e atletismo;Contato com água corrente quente de torneira - área para a prática de esportes e atletismo
10254;X11.4; Rua e estrada;Contato com água corrente quente de torneira - rua e estrada
10255;X11.5; Areas de comercio e de servicos;Contato com água corrente quente de torneira - áreas de comércio e de serviços
10256;X11.6; Areas industriais e em construcao;Contato com água corrente quente de torneira - áreas industriais e em construção
10257;X11.7; Fazenda;Contato com água corrente quente de torneira - fazenda
10258;X11.8; Outr locais espec;Contato com água corrente quente de torneira - outros locais especificados
10259;X11.9; Local NE;Contato com água corrente quente de torneira - local não especificado
10260;X12.0; Residencia;Contato com outros líquidos quentes - residência
10261;X12.1; Habitacao coletiva;Contato com outros líquidos quentes - habitação coletiva
10262;X12.2; Escolas outr instit areas admin publica;Contato com outros líquidos quentes - escolas, outras instituições e áreas de administração pública
10263;X12.3; Area p/a pratica de esportes e atletismo;Contato com outros líquidos quentes - área para a prática de esportes e atletismo
10264;X12.4; Rua e estrada;Contato com outros líquidos quentes - rua e estrada
10265;X12.5; Areas de comercio e de servicos;Contato com outros líquidos quentes - áreas de comércio e de serviços
10266;X12.6; Areas industriais e em construcao;Contato com outros líquidos quentes - áreas industriais e em construção
